division,year,disaster_number,incident_number,incident_name,start_date,fiscal_year,incident_state,disaster_type,disaster_level,total_destroyed_major,total_units_affected,verified_deaths,verified_hospitalized_ill_injured,total_client_shelters_opened,total_overnight_shelter_stays,x_new_shelter_registrations,total_volunters
SE and Caribbean,2005,167-05,53126,Marion County FL 3/05 TOR,4/7/05,2005,FL,TOR,2,71,138,0,0,0,0,0,41
Mid Atlantic,2005,168-05,53160,"Durham,NC 4/05 MFF",4/7/05,2005,NC,FIR,2,19,19,0,0,0,0,0,7
SWARM,2005,174-05,53239,"Longview, TX 4/05 MFF",4/16/05,2005,TX,FIR,1,32,32,0,0,0,0,0,0
Northeast,2005,179-05,53418,"Camden County, NJ 04/05 MM",4/19/05,2005,NJ,FIR,1,29,42,0,0,1,0,16,7
North Central,2005,197-05,53496,Barclay Club 4-05 MFF,4/28/05,2005,MO,FIR,2,16,36,0,0,0,0,0,8
SWARM,2005,309-05,54446,"Odessa, TX 05/05 MFF",5/1/05,2005,TX,FIR,2,32,33,0,2,0,0,0,7
North Central,2005,199-05,53650,Bloomington IL 5/05 MFF,5/5/05,2005,IL,FIR,2,21,72,0,0,0,0,0,15
North Central,2005,200-05,53581,Central WI 5/05 Wildfires,5/5/05,2005,WI,FOR,1,15,20,0,0,1,0,7,18
Mid Atlantic,2005,203-05,53631,"Charlotte, NC 5/05 MFF",5/7/05,2005,NC,FIR,2,7,10,0,0,1,0,26,32
Pacific,2005,204-05,53643,"Pasco, WA 5/05 MFF",5/8/05,2005,WA,FIR,2,23,23,0,2,0,0,0,24
North Central,2005,205-05,53776,Nebraska 5/05 FLT,5/11/05,2005,NE,FLT,3,77,1899,0,15,3,0,63,165
Mid Atlantic,2005,206-05,53863,"FAYETTEVILLE, NC 5/05 MFF",5/11/05,2005,NC,FIR,1,27,48,0,0,0,0,0,10
SE and Caribbean,2005,210-05,53900,Puerto Rico 05/05 FLD,5/16/05,2005,PR,FLD,3,150,295,0,0,0,0,0,36
North Central,2005,222-05,54236,"Janesville, WI 05/05 MFF",5/16/05,2005,WI,FIR,2,34,34,0,1,1,0,33,39
Northeast,2005,221-05,54192,"Marlborough, MA 05/05 MFF",5/18/05,2005,MA,FIR,2,8,12,0,0,0,0,0,14
SE and Caribbean,2005,286-05,54332,Calcasieu05MFD,5/19/05,2005,LA,FIR,2,18,18,1,0,1,0,35,27
Northeast,2005,214-05,54055,"Lawrence, MA 05/05 MFF",5/21/05,2005,MA,FIR,2,16,16,0,0,1,0,39,9
Northeast,2005,395-05,54271,"Southbridge, MA 05/05 MFF",5/29/05,2005,MA,FIR,2,5,7,0,0,0,0,0,13
SWARM,2005,215-05,54172,Houston and South TX TOR,5/30/05,2005,TX,TOR,2,27,103,0,0,0,0,0,19
Northeast,2005,232-05,54305,"Jersey City, NJ 06/05 MFF",6/3/05,2005,NJ,FIR,2,8,12,0,0,0,0,0,1
Pacific,2005,239-05,54318,"Yreka, CA 6/05 MFF",6/4/05,2005,CA,FIR,2,10,20,0,0,2,0,116,9
Pacific,2005,285-05,54317,"Westlake LA, CA 6/05 MFF",6/5/05,2005,CA,FIR,3,50,82,0,3,1,0,71,120
Pacific,2005,301-05,54404,"Seattle, WA 6/05 MFF",6/5/05,2005,WA,FIR,2,1,30,0,9,1,0,20,55
SE and Caribbean,2005,287-05,54396,TS Arlene 6/05 LA,6/10/05,2005,LA,HUR,1,0,0,0,0,0,0,0,5
SE and Caribbean,2005,288-05,54402,TS Arlene 06/05 FL,6/10/05,2005,FL,HUR,2,0,210,0,2,7,0,153,110
SE and Caribbean,2005,289-05,54403,TS Arlene 06/05 AL,6/10/05,2005,AL,HUR,2,0,40,0,0,3,0,44,6
SE and Caribbean,2005,290-05,54406,TS Arlene 06/05 MS,6/10/05,2005,MS,HUR,1,0,10,0,0,1,0,0,2
Pacific,2005,372-05,54564,Chelan WA 6/05 MFF,6/19/05,2005,WA,FIR,1,23,23,0,1,0,0,0,6
Pacific,2005,380-05,54753,Yucca Valley CA 6/05 WF,6/22/05,2005,CA,FOR,1,6,7,0,0,1,0,70,25
Mid Atlantic,2005,751-05,55119,6/05 Beaufort SC MFF,6/22/05,2005,SC,FIR,1,0,0,0,0,0,0,0,7
Mid Atlantic,2005,850-05,55129,06/05 Hilton Head SC MFF,6/28/05,2005,SC,FIR,1,5,16,0,0,0,0,0,13
SWARM,2005,444-05,55113,SALT LAKE CITY 6/05 MFF,6/29/05,2005,UT,FIR,2,42,49,0,3,1,0,42,24
Northeast,2005,503-06,55390,"Washington County, NY 7/05",7/2/05,2006,NY,FLD,1,5,606,0,0,1,0,41,15
Pacific,2005,629-06,55520,"Bellevue, LA, CA 07/05 MFF",7/2/05,2006,CA,FIR,2,20,40,0,0,1,0,60,145
Mid Atlantic,2005,669-06,55600,"Falls Church, VA 7/05 MFF",7/3/05,2006,VA,FIR,2,16,22,0,1,0,0,0,27
SE and Caribbean,2005,507-06,55415,TS Cindy 7-05 LA,7/5/05,2006,LA,HUR,2,30,126,0,0,5,0,79,71
Pacific,2005,648-06,55574,"Waipahu, HI 7/05 MFF",7/5/05,2006,HI,FIR,2,8,8,0,1,1,0,17,6
SWARM,2005,670-06,55498,Oklahoma City OK,7/5/05,2006,OK,EXP,4,0,0,0,0,0,0,0,138
SE and Caribbean,2005,533-06,55526,Hurricane Dennis 7/05 AL,7/6/05,2006,AL,HUR,4,100,383,1,0,97,0,3934,630
SE and Caribbean,2005,646-06,55548,TS Cindy 7/05 GA,7/6/05,2006,GA,HUR,2,25,51,2,2,2,0,25,34
SE and Caribbean,2005,615-06,55610,Hurricane Dennis 7/05 LA,7/7/05,2006,LA,HUR,4,0,0,0,0,3,0,40,179
SE and Caribbean,2005,654-06,55628,Hurricane Dennis 7/05 FL,7/7/05,2006,FL,HUR,4,188,1562,10,33,38,0,11837,1002
SE and Caribbean,2005,657-06,55629,Hurricane Dennis 7/05 MS,7/7/05,2006,MS,HUR,3,82,208,1,2,53,0,4975,331
SE and Caribbean,2005,673-06,55614,"Deerfield Beach, FL 7/05 M",7/7/05,2006,FL,FIR,1,4,11,0,0,0,0,0,6
Mid Atlantic,2005,666-06,55630,Hurr Dennis Rspn Ctr 7/05,7/8/05,2006,VA,HUR,3,0,0,0,0,0,0,0,83
SE and Caribbean,2005,674-06,55639,Hurricane Dennis 7/05 GA,7/10/05,2006,GA,HUR,4,572,727,1,72,7,0,258,213
SWARM,2005,675-06,55646,So Central CO 7/05 Wild,7/10/05,2006,CO,FOR,1,0,500,0,0,1,0,139,26
SWARM,2005,698-06,55645,Las Vegas NV 7/05 MFF,7/10/05,2006,NV,FIR,1,16,16,0,2,0,0,0,11
SWARM,2005,706-06,55675,Hurricane Emily 7/05 TX,7/14/05,2006,TX,HUR,7,22,40,0,22,23,0,5161,642
Northeast,2005,712-06,55696,"Middlesex, NJ 7/05 FLD",7/17/05,2006,NJ,FLD,2,7,349,0,0,1,0,37,56
Mid Atlantic,2005,737-06,55861,TS Franklin 7/05 NC,7/22/05,2006,NC,HUR,1,0,0,0,0,0,0,0,0
Crossroads,2005,761-06,55980,0805Shelby County MFF,8/1/05,2006,KY,FIR,1,0,0,0,0,0,0,0,2
Northeast,2005,758-06,55951,"Jamestown, NY 8/05 MFF",8/2/05,2006,NY,FIR,2,9,16,0,1,0,0,0,3
Pacific,2005,785-06,56043,Southeast WA 8/05 FOR,8/5/05,2006,WA,FOR,1,8,83,0,0,1,0,0,8
Mid Atlantic,2005,782-06,56041,Berwick PA,8/7/05,2006,PA,FIR,1,5,10,0,0,0,0,0,8
Mid Atlantic,2005,775-06,56040,Hurricane Irene 8/05 VA,8/11/05,2006,VA,HUR,1,0,0,0,0,0,0,0,0
Mid Atlantic,2005,781-06,56039,Hurricane Irene 8/05 NC,8/11/05,2006,NC,HUR,1,0,0,0,0,0,0,0,1
Northeast,2005,861-06,56136,166 Canterbury Street,8/11/05,2006,MA,FIR,2,9,9,0,0,0,0,0,10
SWARM,2005,830-06,56085,Eastern WY 8/05 Tornado,8/12/05,2006,WY,TOR,3,93,127,2,16,1,0,3,56
SWARM,2005,855-06,56121,"Lake Stanford, TX 08/06",8/15/05,2006,TX,FLD,2,87,87,0,0,3,0,12,30
SWARM,2005,092-06,56171,San Antonio Tx 08/05 MFF,8/18/05,2006,TX,FIR,1,13,14,0,0,0,0,0,0
North Central,2005,862-06,56151,Southern WI 8/05 TOR,8/18/05,2006,WI,TOR,3,155,478,1,37,2,0,65,242
SE and Caribbean,2005,863-06,56224,Hurricane Katrina 8/05 FL,8/23/05,2006,FL,HUR,7,273,342302,14,2159,19,0,1685,10708
SE and Caribbean,2005,865-06,56310,Hurricane Katrina 8/05 LA,8/23/05,2006,LA,HUR,7,345100,702258,28,168178,256,0,146242,33337
North Central,2005,868-06,56257,DR868 So. Cent.KS8/05FLD,8/25/05,2006,KS,FLD,2,1,239,0,5,1,0,10,37
SE and Caribbean,2005,007-06,56315,Hurricane Katrina 8/05 MS,8/26/05,2006,MS,HUR,7,0,0,36,4575,121,0,18159,15056
Mid Atlantic,2005,869-06,56311,Hur Katrin Rsp Ctr 8/05 VA,8/26/05,2006,VA,HUR,6,0,0,0,0,0,0,0,3976
Mid Atlantic,2005,870-06,56267,Hurricane Katrina 8/05 NC,8/26/05,2006,NC,HUR,5,0,0,0,325,1,0,1041,4459
SE and Caribbean,2005,871-06,56312,Hurricane Katrina 8/05 AL,8/26/05,2006,AL,HUR,7,0,0,5,3941,55,0,5473,16181
SE and Caribbean,2005,873-06,56314,Hurricane Katrina 8/05 GA,8/26/05,2006,GA,HUR,7,0,0,5,481,22,0,3123,15683
SWARM,2005,875-06,56344,Hur Ktrn CAC Unit 8/05 TX,8/26/05,2006,TX,HUR,1,0,0,0,0,0,0,0,0
SWARM,2005,008-06,56316,Hur Ktrna Stag Ar 8/05 AR,8/27/05,2006,AR,HUR,6,0,0,0,61,13,0,1478,2749
SWARM,2005,009-06,56317,Hurricane Katrina 8/05 TX,8/27/05,2006,TX,HUR,6,0,0,3,686,133,0,53098,25988
Pacific,2005,010-06,56290,"Fresno, CA MFF",8/27/05,2006,CA,FIR,1,16,18,0,0,1,0,0,0
Crossroads,2005,016-06,56334,Hurricane Katrina 8/05 KY,8/28/05,2006,KY,HUR,2,0,0,2,24,2,0,146,1220
SE and Caribbean,2005,014-06,56318,Hurricane Katrina 8/05 TN,8/30/05,2006,TN,HUR,7,0,0,2,319,19,0,2247,8935
Northeast,2005,018-06,56329,Quincy MFF Aug 05,8/30/05,2006,MA,FIR,2,55,55,0,0,0,0,0,5
Pacific,2005,022-06,56323,TS Nabi 8/05 NMI,8/30/05,2006,MP,HUR,2,47,157,0,0,0,0,0,27
Crossroads,2005,540-06,56527,"CHARLESTON, WV 08/05 FLOOD",8/31/05,2006,WV,FLT,2,16,26,0,0,0,0,0,22
North Central,2005,026-06,56346,Hurricane Katrina 8/05 MO,9/1/05,2006,MO,HUR,7,0,0,2,100,4,0,321,1394
SWARM,2005,030-06,56336,Huricane Katrina 8/05 UT,9/1/05,2006,UT,HUR,4,0,0,0,61,2,0,571,1672
Mid Atlantic,2005,367-06,56549,HurricaneKatrina 9/05 Fall,9/1/05,2006,VA,HUR,1,0,0,0,0,0,0,0,63
SWARM,2005,025-06,56345,Hurricane Katrina 8/05 OK,9/2/05,2006,OK,HUR,7,0,0,2,1951,14,0,2352,3735
North Central,2005,031-06,56348,Hurricane Katrina 8/05 NE,9/2/05,2006,NE,HUR,4,0,0,0,0,2,0,184,156
North Central,2005,032-06,56347,Hurricane Katrina 8/05 KS,9/2/05,2006,KS,HUR,4,0,0,0,45,1,0,4,1663
North Central,2005,037-06,56349,Hurricane Katrina 8/05 IA,9/2/05,2006,IA,HUR,4,0,0,0,6,0,0,0,594
North Central,2005,038-06,56350,Hurricane Katrina 8/05 IL,9/2/05,2006,IL,HUR,7,0,0,0,76,4,0,774,1506
North Central,2005,039-06,56351,Hurricane Katrina 8/05 WI,9/2/05,2006,WI,HUR,4,0,0,2,371,2,0,383,1119
Mid Atlantic,2005,040-06,56352,Hurricane Katrina 8/05 SC,9/2/05,2006,SC,HUR,4,0,0,1,631,1,0,36,1613
Mid Atlantic,2005,042-06,56353,Hurricane Katrina 8/05 DC,9/2/05,2006,DC,HUR,4,0,0,2,4,2,0,378,2269
Mid Atlantic,2005,048-06,56354,Hurricane Katrina 8/05 MD,9/2/05,2006,MD,HUR,4,0,0,0,11,0,0,0,752
Crossroads,2005,051-06,56355,Hurricane Katrina 8/05 WV,9/2/05,2006,WV,HUR,4,0,0,0,111,1,0,323,1213
Mid Atlantic,2005,065-06,56356,Hurricane Katrina 8/05 VA,9/2/05,2006,VA,HUR,4,0,0,0,218,1,0,0,1630
Mid Atlantic,2005,068-06,56357,Hurricane Katrina 8/05 DE,9/2/05,2006,DE,HUR,3,0,0,0,0,0,0,0,16
SWARM,2005,069-06,56358,Hurricane Katrina 8/05 AZ,9/2/05,2006,AZ,HUR,4,0,0,0,274,1,0,562,1763
SWARM,2005,072-06,56376,Hurricane Katrina 8/05 CO,9/2/05,2006,CO,HUR,4,0,0,0,476,1,0,438,1510
Pacific,2005,074-06,56377,Hurricane Katrina 8/05 OR,9/2/05,2006,OR,HUR,4,0,0,0,4,1,0,0,538
SWARM,2005,079-06,56378,Hurricane Katrina 8/05 NV,9/2/05,2006,NV,HUR,4,0,0,0,0,0,0,0,654
Pacific,2005,081-06,56379,Hurricane Katrina 8/05 WA,9/2/05,2006,WA,HUR,4,0,0,0,150,0,0,0,1223
Crossroads,2005,109-06,56380,Hurricane Katrina 8/05 IN,9/2/05,2006,IN,HUR,4,0,0,3,313,3,0,146,932
Pacific,2005,299-06,56390,Hurricane Katrina 8/05 AK,9/2/05,2006,AK,HUR,2,0,0,0,0,0,0,0,4
Crossroads,2005,116-06,56381,Hurricane Katrina 8/05 MI,9/3/05,2006,MI,HUR,4,0,0,0,74,1,0,320,1810
Crossroads,2005,125-06,56382,Hurricane Katrina 8/05 OH,9/3/05,2006,OH,HUR,4,0,0,1,11,5,0,30,856
Pacific,2005,127-06,56368,Hurricane Katrina 8/05 CA,9/3/05,2006,CA,HUR,6,0,0,1,638,3,0,161,9742
Mid Atlantic,2005,132-06,56337,Hurricane Katrina 9/05 PA,9/3/05,2006,PA,HUR,4,0,0,0,0,0,0,0,1371
Northeast,2005,134-06,56338,Hurricane Katrina 9/05 NY,9/3/05,2006,NY,HUR,7,0,0,0,2,0,0,0,2738
Northeast,2005,169-06,56339,Hurricane Katrina 9/05 NJ,9/3/05,2006,NJ,HUR,4,0,0,0,3,0,0,0,774
Northeast,2005,181-06,56341,Hurricane Katrina 8/05 CT,9/3/05,2006,CT,HUR,4,0,0,0,0,0,0,0,521
Northeast,2005,184-06,56361,Hurricane Katrina 8/05 MA,9/3/05,2006,MA,HUR,4,0,0,0,29,1,0,0,1139
SE and Caribbean,2005,190-06,56364,Hurricane Katrina 8/05 PR,9/3/05,2006,PR,HUR,3,0,0,0,0,0,0,0,113
Northeast,2005,192-06,56362,Hurricane Katrina 8/05 VT,9/3/05,2006,VT,HUR,3,0,0,0,0,0,0,0,17
Northeast,2005,195-06,56363,Hurricane Katrina 8/05 NH,9/3/05,2006,NH,HUR,3,0,0,0,9,0,0,0,660
SWARM,2005,200-06,56369,Hurricane Katrina 8/05 NM,9/3/05,2006,NM,HUR,4,0,0,0,261,3,0,86,315
North Central,2005,208-06,56365,Hurricane Katrina 8/05 MN,9/3/05,2006,MN,HUR,4,0,0,0,2,0,0,0,192
North Central,2005,212-06,56367,Hurricane Katrina 8/05 SD,9/3/05,2006,SD,HUR,3,0,0,0,0,0,0,0,275
SWARM,2005,218-06,56372,Hurricane Katrina 8/05 WY,9/3/05,2006,WY,HUR,3,0,0,0,0,0,0,0,16
North Central,2005,228-06,56370,Hurricane Katrina 8/05 ID,9/3/05,2006,ID,HUR,3,0,0,0,0,0,0,0,0
North Central,2005,242-06,56371,Hurricane Katrina 8/05 MT,9/3/05,2006,MT,HUR,3,0,0,0,0,0,0,0,218
North Central,2005,249-06,56366,Hurricane Katrina 8/05 ND,9/3/05,2006,ND,HUR,3,0,0,0,2,0,0,0,50
Northeast,2005,223-06,56383,Hurricane Katrina 8/05 ME,9/5/05,2006,ME,HUR,3,0,0,0,7,0,0,0,118
Northeast,2005,286-06,56386,Hurricane Katrina 9/05 RI,9/5/05,2006,RI,HUR,3,0,0,0,0,0,0,0,395
SE and Caribbean,2005,302-06,56398,Tropical Storm Ophelia 9/0,9/6/05,2006,FL,HUR,4,0,0,0,0,0,0,0,114
Pacific,2005,303-06,56475,Call Ctr Bakersf 9/05 CA,9/6/05,2006,CA,HUR,4,0,0,0,0,0,0,0,412
Mid Atlantic,2005,304-06,57685,HURR KATRINA 9/05 DC,9/8/05,2006,DC,HUR,3,0,0,0,0,0,0,0,13
SE and Caribbean,2005,307-06,56396,Hurr Katrina MS Gulf 9/05,9/8/05,2006,MS,HUR,7,0,0,1,6921,37,0,12661,5419
SE and Caribbean,2005,336-06,59889,Hurricane Ophelia 9/05 GA,9/11/05,2006,GA,HUR,1,0,0,0,0,0,0,0,0
Northeast,2005,350-06,56402,"Brooklyn, CT 9/05 MFF",9/12/05,2006,CT,FIR,1,39,85,0,0,0,0,0,12
Mid Atlantic,2005,316-06,56433,Tropical Storm Ophelia 9/0,9/14/05,2006,NC,HUR,3,4,26,0,0,22,0,1996,480
Northeast,2005,366-06,56520,"Hurr. Kat. Call Ctr, NY",9/14/05,2006,NY,HUR,2,0,0,0,0,0,0,0,22
SWARM,2005,393-06,56457,Hurricane Rita 9/05 TX,9/19/05,2006,TX,HUR,7,9199,46141,76,1176,392,0,136499,31893
SE and Caribbean,2005,407-06,56453,Hurricane Katrina 8/05 USV,9/19/05,2006,VI,HUR,2,0,0,0,0,0,0,0,0
SE and Caribbean,2005,394-06,56458,Hurricane Rita 9/05 FL,9/20/05,2006,FL,HUR,3,0,0,0,0,9,0,1338,165
Pacific,2005,412-06,56468,"Alameda, CA 9/05 MFF",9/20/05,2006,CA,FIR,2,6,35,0,4,0,0,0,10
North Central,2005,417-06,56471,S. MN 9/05 Tornado,9/21/05,2006,MN,TOR,2,375,1101,1,1,0,0,0,65
Mid Atlantic,2005,155-06,56991,Anderson 09/05 MFF,9/23/05,2006,SC,FIR,1,0,0,0,0,0,0,0,4
North Central,2005,427-06,56512,NE Kansas 10/05 Floods,10/1/05,2006,KS,FLD,3,281,428,0,0,6,0,9,106
Pacific,2005,544-06,56517,Bellingham WA 10/05 MFF,10/3/05,2006,WA,FIR,1,9,12,0,0,0,0,0,10
SE and Caribbean,2005,641-06,56522,Puerto Rico 10/05 FLD,10/5/05,2006,PR,FLD,3,220,373,0,0,0,0,0,154
SE and Caribbean,2005,028-06,56566,TS Tammy 10/05 GA,10/7/05,2006,GA,HUR,2,47,111,0,4,1,0,69,23
North Central,2005,318-06,56921,Lawrence KS 10/05 MFF,10/7/05,2006,KS,FIR,2,76,79,3,34,2,0,0,7
Northeast,2005,656-06,56555,New Hampshire 10/05 Flood,10/9/05,2006,NH,FLD,3,216,608,7,4,4,0,202,359
Northeast,2005,662-06,56565,Massachusetts 10/05 Flood,10/9/05,2006,MA,FLD,3,126,440,0,0,6,0,208,254
SE and Caribbean,2005,695-06,56602,"Hur Katrina NewOrleans,LA",10/10/05,2006,LA,HUR,6,0,0,1,2243,8,0,1476,1649
Northeast,2005,045-06,56635,Central MA 10-05 Floods,10/15/05,2006,MA,FLD,3,7,201,0,0,3,0,148,144
Northeast,2005,096-06,56642,Dutchess Co. 10-05 Flood,10/15/05,2006,NY,FLD,2,6,49,0,1,1,0,10,35
Northeast,2005,033-06,56633,Jersey Coast 10-05 Flood,10/16/05,2006,NJ,FLD,2,31,1506,0,0,1,0,56,14
Northeast,2005,061-06,56638,Metro NJ 10/05 Floods,10/16/05,2006,NJ,FLD,2,0,1051,0,0,3,0,40,79
Northeast,2005,083-06,56636,Bergen-Hudson 10/05 Flood,10/16/05,2006,NJ,FLD,1,0,500,0,1,1,0,37,12
Northeast,2005,098-06,56644,Farmington CT 10-05 Flood,10/16/05,2006,CT,FLD,2,30,244,2,0,3,0,23,20
SE and Caribbean,2005,661-06,56652,HURR. WILMA 10/05 FL,10/18/05,2006,FL,HUR,7,0,0,25,2894,84,0,31345,8464
SWARM,2005,506-06,56916,Fordyce Fires10/23/05,10/23/05,2006,AR,FIR,2,18,18,0,0,0,0,0,3
Crossroads,2005,102-06,56743,MRGNTWN WV 10/05 SNOWS,10/26/05,2006,WV,OTH,1,0,0,0,0,0,0,0,0
North Central,2005,104-06,56760,Hibbing MN 10/05 Apt Fire,10/28/05,2006,MN,FIR,2,13,13,0,0,0,0,0,4
SE and Caribbean,2005,119-06,56763,"Nashville, TN 10/05 Fire",10/31/05,2006,TN,FIR,2,19,19,0,0,0,0,0,8
North Central,2005,124-06,56867,Lenexa KS 11/05 MFF,11/3/05,2006,KS,FIR,2,16,24,0,0,0,0,0,4
Crossroads,2005,121-06,56843,S. Indiana/Kentucky 11/05,11/6/05,2006,IN,TOR,4,472,761,24,201,2,0,50,177
Northeast,2005,183-06,57486,Stamford CT 11/05 MFF,11/11/05,2006,CT,FIR,2,4,12,0,0,0,0,0,1
Crossroads,2005,137-06,56984,Kentucky 11/05 Tornados,11/14/05,2006,KY,TOR,4,436,1617,1,23,5,0,66,262
SE and Caribbean,2005,140-06,56952,WEST TN 11/05 TOR,11/15/05,2006,TN,TOR,2,126,414,3,23,1,0,15,57
SWARM,2005,144-06,56992,San Antonio 11/05 MFF III,11/16/05,2006,TX,FIR,2,23,23,0,0,0,0,0,12
SE and Caribbean,2005,543-06,57389,Atlanta GA 11/05 MFF,11/22/05,2006,GA,FIR,2,50,50,0,0,0,0,0,10
SWARM,2005,162-06,57041,North Cental Arkansas Wstm,11/27/05,2006,AR,OST,2,81,156,1,2,1,0,0,34
SWARM,2005,171-06,57063,"Chouteau, OK 11/05 Windsto",11/27/05,2006,OK,OST,2,53,57,1,2,2,0,2,69
SE and Caribbean,2005,182-06,57481,HOOVER AL 11/05 MFF,11/28/05,2006,AL,FIR,2,15,29,0,0,0,0,0,8
SWARM,2005,172-06,57156,"DR172 Texoma, TX 12/05 MFF",12/2/05,2006,TX,FIR,1,9,19,0,1,0,0,0,7
Northeast,2005,529-06,57397,Ballston NY MFF,12/3/05,2006,NY,FIR,2,11,11,0,2,0,0,0,19
Mid Atlantic,2005,202-06,57447,Highland Arms Apartments,12/11/05,2006,SC,FIR,2,9,9,0,1,0,0,0,2
Northeast,2005,176-06,57460,Bergenfield NJ MFF,12/14/05,2006,NJ,FIR,1,24,84,3,4,1,0,27,13
Mid Atlantic,2005,252-06,57942,Ice Storm 12/05,12/15/05,2006,SC,BLI,2,3,3,0,0,5,0,500,55
Crossroads,2005,185-06,57609,"Indianapolis, IN 12/05 MFF",12/18/05,2006,IN,FIR,1,19,35,0,0,0,0,0,0
SE and Caribbean,2005,186-06,57535,Air Chalks Flt 101 Crash 1,12/19/05,2006,FL,TRA,1,0,0,20,0,0,0,0,53
SE and Caribbean,2005,234-06,57865,Atlanta GA 12/05 MFF,12/20/05,2006,GA,FIR,2,10,10,0,0,0,0,0,6
Mid Atlantic,2005,188-06,57555,Rutland Ridge Apt Fire,12/21/05,2006,SC,FIR,2,15,20,0,0,0,0,0,3
Mid Atlantic,2005,193-06,57610,Huntington Apt Fire 12/05,12/25/05,2006,SC,FIR,2,8,8,0,0,0,0,0,2
SWARM,2005,191-06,57671,Oklahoma/Texas 12/05 FOR,12/27/05,2006,OK,FOR,4,383,423,4,5,7,0,160,380
Pacific,2005,224-06,57812,Coastal CA 12/05 FLD,12/27/05,2006,CA,FLD,4,612,2390,1,129,19,0,486,103
Pacific,2005,277-06,57975,West Central OR 12/05 Floo,12/28/05,2006,OR,FLD,2,13,92,0,0,1,0,0,27
SE and Caribbean,2005,209-06,57774,LA Hurr. Katrina 12/05 Com,12/29/05,2006,LA,HUR,1,0,0,0,0,0,0,0,0
SE and Caribbean,2005,213-06,57775,MS/AL HURR KATRINA 12/05 R,12/29/05,2006,MS,HUR,1,0,0,0,0,0,0,0,0
SWARM,2005,217-06,57776,TX HURR KATRINA/RITA 12/05,12/29/05,2006,TX,HUR,1,0,0,0,0,0,0,0,0
Pacific,2005,219-06,57811,"Central Valley, CA 12/05 F",12/31/05,2006,CA,FLD,3,103,402,1,6,15,0,373,216
Mid Atlantic,2006,235-06,57820,Summit Apartments,1/1/06,2006,SC,FIR,2,6,6,0,0,0,0,0,3
Mid Atlantic,2006,962-06,57963,FY 2005 Hurr. Season Audi,1/1/06,2006,VA,OTH,2,0,0,0,0,0,0,0,4
Crossroads,2006,229-06,57831,WV Mine Dis 01/06 OTH,1/2/06,2006,WV,OTH,1,0,0,0,0,0,0,0,0
Crossroads,2006,250-06,57944,"Hardin Co., KY 1/06 TOR",1/2/06,2006,KY,TOR,2,45,90,0,0,0,0,0,15
Mid Atlantic,2006,317-06,57956,Katrina CRP NHQ/DC 01/06,1/10/06,2006,DC,HUR,1,0,0,0,0,0,0,0,0
SE and Caribbean,2006,279-06,58089,AL/FL 1/06 Tornados,1/13/06,2006,AL,TOR,1,43,73,2,16,0,0,0,5
Mid Atlantic,2006,282-06,58065,"Paxville, SC 1/06 TOR",1/14/06,2006,SC,TOR,2,16,36,0,17,0,0,0,20
SWARM,2006,280-06,58085,"Dallas, TX 1/06 MFF",1/15/06,2006,TX,FIR,2,36,36,0,0,1,0,2,24
Northeast,2006,291-06,58203,"Montville, CT 1/06 MFF",1/19/06,2006,CT,FIR,2,19,19,0,0,0,0,0,0
Crossroads,2006,292-06,58214,Logan County WV 1/06 OTH,1/19/06,2006,WV,OTH,1,0,0,0,0,0,0,0,0
North Central,2006,320-06,58493,Bellevue NE 1/06 MFF,1/21/06,2006,NE,FIR,2,20,61,0,3,0,0,0,8
Crossroads,2006,325-06,58801,"Saginaw, MI 1/06 MFF",1/21/06,2006,MI,FIR,2,16,20,0,0,0,0,0,24
Mid Atlantic,2006,348-06,58258,ANDERSON 1/06 MFF,1/22/06,2006,SC,FIR,2,4,7,0,0,0,0,0,3
Northeast,2006,293-06,58537,"Vestal, NY 1/06 MFF",1/26/06,2006,NY,FIR,2,32,32,0,0,0,0,0,55
North Central,2006,319-06,58507,"Clinton, IA 1/06 MFF",1/29/06,2006,IA,FIR,2,6,24,1,0,0,0,0,12
Pacific,2006,296-06,58595,"Riverbank, CA 01/06 MFF",1/30/06,2006,CA,FIR,2,2,8,0,0,1,0,99,68
Mid Atlantic,2006,295-06,58618,Morganton NC 01/06 EXP,1/31/06,2006,NC,EXP,1,5,10,1,14,1,0,0,25
Northeast,2006,322-06,58706,Bronx NY Feb 06 MFF,2/1/06,2006,NY,FIR,3,55,109,0,2,0,0,0,37
SE and Caribbean,2006,323-06,58742,Tampabay Flood 02/06,2/3/06,2006,FL,FLD,2,32,80,0,0,1,0,9,103
Crossroads,2006,342-06,59321,"Toledo, OH 2-06 MFF",2/6/06,2006,OH,FIR,2,16,84,0,3,0,0,0,17
SE and Caribbean,2006,332-06,59174,Hoover AL 02/06 MFF,2/8/06,2006,AL,FIR,1,20,20,0,1,0,0,0,7
Pacific,2006,326-06,59313,American Samoa 2/06 FLD,2/10/06,2006,AS,FLT,1,0,0,0,0,0,0,0,2
Northeast,2006,327-06,59760,NY State 2/06 Windstorm,2/17/06,2006,NY,OST,2,10,8010,0,0,12,0,376,84
SE and Caribbean,2006,334-06,59228,Stockbridge GA 02/06 MFF,2/18/06,2006,GA,FIR,2,24,24,0,3,0,0,0,10
Northeast,2006,347-06,59261,"Lewiston, ME 2/06 MFF",2/20/06,2006,ME,FIR,1,10,10,1,3,0,0,0,9
